title,price_ngn,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,total_rooms,price_per_room
5 Bedroom Fully Detached Duplex Carcass For Sale,140000000,Dawaki,Dawaki,Dawaki Abuja,5,5,5,Detached Duplex,15,9333333.0
Twin 3 Bedroom Semi Detached Duplex,150000000,Dawaki,Dawaki,"Trans Engineering 1 Estate, Dawaki Abuja",3,3,4,Semi-Detached Duplex,10,15000000.0
4 Bedroom Flat,250000000,Dawaki,Dawaki,Dawaki New Engineering Tarred Road Dawaki Abuja,4,5,5,Flat/Apartment,14,17857143.0
Newly Built 4 Bedroom Terrace Duplex With Bq,250000000,Dawaki,Dawaki,Dawaki Abuja,4,4,5,Terraced Duplex,13,19230769.0
2 Bedroom Apartment,65000000,Dawaki,Dawaki,Dawaki Abuja,2,2,3,Flat/Apartment,7,9285714.0
Decent 2 Bedroom Flat,68000000,Dawaki,Dawaki,"Dawaki By Modern Market, Dawaki Abuja",2,2,3,Flat/Apartment,7,9714286.0
2 Bedroom Flat,68000000,Dawaki,Dawaki,"By Modern Market, Dawaki Abuja",2,2,3,Flat/Apartment,7,9714286.0
3 Bedroom Bungalow,69000000,Dawaki,Dawaki,"Dawaki By Modern Market, Dawaki, Abuja Dawaki Abuja",3,3,4,Bungalow,10,6900000.0
A Massive 4 Bedroom Duplex With An Attached Bq,250000000,Dawaki,Dawaki,New Engineering Dawaki Abuja,4,4,5,Detached Duplex,13,19230769.0
Standard 4 Bedroom With A Bq,330000000,Guzape,Guzape,Guzape Abuja,4,4,5,House,13,25384615.0
Luxurious 5 Bedroom Detached Duplex With Bq,2500000000,Guzape,Guzape,"Close To Fairview School, Guzape Abuja",5,5,6,Detached Duplex,16,156250000.0
5 Bedroom Detached Duplex With Bq,440000000,Guzape,Guzape,Close To Nnpc Guzape Abuja,5,5,6,Detached Duplex,16,27500000.0
8 Bedroom Detached Duplex With Bq,2500000000,Guzape,Guzape,Close To Nnpc Estate Guzape Abuja,8,8,9,Detached Duplex,25,100000000.0
4 Bedroom Duplex With 2 Bq,800000000,Guzape,Guzape,"Close To Nnpc, Guzape Abuja",4,4,5,Detached Duplex,13,61538462.0
4 Bedroom Terrace Duplex With Bq,370000000,Guzape,Guzape,Close To Fairview School Guzape Abuja,4,4,5,Terraced Duplex,13,28461538.0
7 Bedroom Flats,3000000000,Guzape,Guzape,Close To Peace Setters School Guzape Abuja,7,7,8,Flat/Apartment,22,136363636.0
5 Bedroom Detached Duplex With 1 Bedroom Guest Chalet,650000000,Guzape,Guzape,Guzape Abuja Diplomatic Zone Guzape Abuja,5,6,6,Detached Duplex,17,38235294.0
Luxury 5 Bedroom Fully Detached Duplex +bq,750000000,Guzape,Guzape,Behind Coza Guzape Abuja,5,5,6,Detached Duplex,16,46875000.0
3 Bedroom Flat,300000000,Guzape,Guzape,Guzape Abuja,3,3,4,Flat/Apartment,10,30000000.0
Newly Built 4 Bedroom,900000000,Guzape,Guzape,Guzape Abuja,4,4,5,House,13,69230769.0
4 Bedroom Flat,750000000,Guzape,Guzape,Guzape Abuja,4,4,5,Flat/Apartment,13,57692308.0
Newly Built 5 Bedroom Detached Duplex With Penthouse,700000000,Guzape,Guzape,Guzape Abuja,5,5,6,Detached Duplex,16,43750000.0
Bedroom Duplex,600000000,Guzape,Guzape,Guzape Abuja,5,5,5,Detached Duplex,15,40000000.0
5 Bedroom Detached Duplex,680000000,Utako,Utako,Utako Abuja,5,5,6,Detached Duplex,16,42500000.0
5 Bedroom Detached Duplex With Bq,780000000,Utako,Utako,Utako Abuja,5,5,6,Detached Duplex,16,48750000.0
Massive 17 Rooms Duplex ( Fully Detached),1290000000,Utako,Utako,"Utako, Abuja Utako Abuja",10,10,10,Detached Duplex,30,43000000.0
Newly Built And Beautiful 4bedroom Terrace With Bq,750000000,Utako,Utako,Utako Utako Abuja,4,4,5,House,13,57692308.0
4 Bedroom Detached Duplex,550000000,Utako,Utako,Utako Abuja,4,4,5,Detached Duplex,13,42307692.0
Newly Built 6 Bedroom Fully Detached Duplex,600000000,Utako,Utako,Utako Abuja,6,6,7,Detached Duplex,19,31578947.0
Fu5 Bedroom Detached Duplex,500000000,Utako,Utako,Utako Abuja,5,5,6,Detached Duplex,16,31250000.0
Fully Detached 17 Rooms Duplex,1290000000,Utako,Utako,"Utako, Abuja Utako Abuja",10,10,10,Detached Duplex,30,43000000.0
